lengthscale,likelihood_variance,kernel_variance,trainable_kernel,trainable_variance,trainable_lengthscale,avg_rmse,rmse_list
,,,1.0,1.0,0.0,,[]
,,,1.0,0.0,0.0,,[]
,,,0.0,1.0,0.0,,[]
,,,0.0,0.0,0.0,,[]
,,425,1.0,1.0,0.0,,[]
,,425,1.0,0.0,0.0,,[]
,,425,0.0,1.0,0.0,,[]
,,425,0.0,0.0,0.0,,[]
,,600,1.0,1.0,0.0,,[]
,,600,1.0,0.0,0.0,,[]
,,600,0.0,1.0,0.0,,[]
,,600,0.0,0.0,0.0,,[]
,425,,1.0,1.0,0.0,,[]
,425,,1.0,0.0,0.0,,[]
,425,,0.0,1.0,0.0,,[]
,425,,0.0,0.0,0.0,,[]
,425,425,1.0,1.0,0.0,,[]
,425,425,1.0,0.0,0.0,,[]
,425,425,0.0,1.0,0.0,,[]
,425,425,0.0,0.0,0.0,,[]
,425,600,1.0,1.0,0.0,,[]
,425,600,1.0,0.0,0.0,,[]
,425,600,0.0,1.0,0.0,,[]
,425,600,0.0,0.0,0.0,,[]
,600,,1.0,1.0,0.0,,[]
,600,,1.0,0.0,0.0,,[]
,600,,0.0,1.0,0.0,,[]
,600,,0.0,0.0,0.0,,[]
,600,425,1.0,1.0,0.0,,[]
,600,425,1.0,0.0,0.0,,[]
,600,425,0.0,1.0,0.0,,[]
,600,425,0.0,0.0,0.0,,[]
,600,600,1.0,1.0,0.0,,[]
,600,600,1.0,0.0,0.0,,[]
,600,600,0.0,1.0,0.0,,[]
,600,600,0.0,0.0,0.0,,[]
"[0.008, 0.008, 2]",,,1.0,1.0,0.0,,[]
"[0.008, 0.008, 2]",,,1.0,0.0,0.0,,[]
"[0.008, 0.008, 2]",,,0.0,1.0,0.0,,[]
"[0.008, 0.008, 2]",,,0.0,0.0,0.0,,[]
"[0.008, 0.008, 2]",,425,1.0,1.0,0.0,,[]
"[0.008, 0.008, 2]",,425,1.0,0.0,0.0,,[]
"[0.008, 0.008, 2]",,425,0.0,1.0,0.0,,[]
"[0.008, 0.008, 2]",,425,0.0,0.0,0.0,,[]
"[0.008, 0.008, 2]",,600,1.0,1.0,0.0,,[]
"[0.008, 0.008, 2]",,600,1.0,0.0,0.0,,[]
"[0.008, 0.008, 2]",,600,0.0,1.0,0.0,,[]
"[0.008, 0.008, 2]",,600,0.0,0.0,0.0,,[]
"[0.008, 0.008, 2]",425,,1.0,1.0,0.0,,[]
"[0.008, 0.008, 2]",425,,1.0,0.0,0.0,,[]
"[0.008, 0.008, 2]",425,,0.0,1.0,0.0,,[]
"[0.008, 0.008, 2]",425,,0.0,0.0,0.0,,[]
"[0.008, 0.008, 2]",425,425,1.0,1.0,0.0,,[]
"[0.008, 0.008, 2]",425,425,1.0,0.0,0.0,,[]
"[0.008, 0.008, 2]",425,425,0.0,1.0,0.0,,[]
"[0.008, 0.008, 2]",425,425,0.0,0.0,0.0,,[]
"[0.008, 0.008, 2]",425,600,1.0,1.0,0.0,,[]
"[0.008, 0.008, 2]",425,600,1.0,0.0,0.0,,[]
"[0.008, 0.008, 2]",425,600,0.0,1.0,0.0,,[]
"[0.008, 0.008, 2]",425,600,0.0,0.0,0.0,,[]
"[0.008, 0.008, 2]",600,,1.0,1.0,0.0,,[]
"[0.008, 0.008, 2]",600,,1.0,0.0,0.0,,[]
"[0.008, 0.008, 2]",600,,0.0,1.0,0.0,,[]
"[0.008, 0.008, 2]",600,,0.0,0.0,0.0,,[]
"[0.008, 0.008, 2]",600,425,1.0,1.0,0.0,,[]
"[0.008, 0.008, 2]",600,425,1.0,0.0,0.0,,[]
"[0.008, 0.008, 2]",600,425,0.0,1.0,0.0,,[]
"[0.008, 0.008, 2]",600,425,0.0,0.0,0.0,,[]
"[0.008, 0.008, 2]",600,600,1.0,1.0,0.0,,[]
"[0.008, 0.008, 2]",600,600,1.0,0.0,0.0,,[]
"[0.008, 0.008, 2]",600,600,0.0,1.0,0.0,,[]
"[0.008, 0.008, 2]",600,600,0.0,0.0,0.0,,[]
train_shape,,,1.0,1.0,0.0,,[]
train_shape,,,1.0,0.0,0.0,,[]
train_shape,,,0.0,1.0,0.0,,[]
train_shape,,,0.0,0.0,0.0,,[]
train_shape,,425,1.0,1.0,0.0,,[]
train_shape,,425,1.0,0.0,0.0,,[]
train_shape,,425,0.0,1.0,0.0,,[]
train_shape,,425,0.0,0.0,0.0,,[]
train_shape,,600,1.0,1.0,0.0,,[]
train_shape,,600,1.0,0.0,0.0,,[]
train_shape,,600,0.0,1.0,0.0,,[]
train_shape,,600,0.0,0.0,0.0,,[]
train_shape,425,,1.0,1.0,0.0,,[]
train_shape,425,,1.0,0.0,0.0,,[]
train_shape,425,,0.0,1.0,0.0,,[]
train_shape,425,,0.0,0.0,0.0,,[]
train_shape,425,425,1.0,1.0,0.0,,[]
train_shape,425,425,1.0,0.0,0.0,,[]
train_shape,425,425,0.0,1.0,0.0,,[]
train_shape,425,425,0.0,0.0,0.0,,[]
train_shape,425,600,1.0,1.0,0.0,,[]
train_shape,425,600,1.0,0.0,0.0,,[]
train_shape,425,600,0.0,1.0,0.0,,[]
train_shape,425,600,0.0,0.0,0.0,,[]
train_shape,600,,1.0,1.0,0.0,,[]
train_shape,600,,1.0,0.0,0.0,,[]
train_shape,600,,0.0,1.0,0.0,,[]
train_shape,600,,0.0,0.0,0.0,,[]
train_shape,600,425,1.0,1.0,0.0,,[]
train_shape,600,425,1.0,0.0,0.0,,[]
train_shape,600,425,0.0,1.0,0.0,,[]
train_shape,600,425,0.0,0.0,0.0,,[]
train_shape,600,600,1.0,1.0,0.0,,[]
train_shape,600,600,1.0,0.0,0.0,,[]
train_shape,600,600,0.0,1.0,0.0,,[]
train_shape,600,600,0.0,0.0,0.0,,[]
